home_team,away_team,game_date,result,home_goals,away_goals,referee,attendance,venue,home_ball_possession,away_ball_possession,home_goal_attempts,away_goal_attempts,home_shots_on_goal,away_shots_on_goal,home_shots_off_goal,away_shots_off_goal,home_blocked_shots,away_blocked_shots,home_free_kicks,away_free_kicks,home_corner_kicks,away_corner_kicks,home_offsides,away_offsides,home_goalkeeper_saves,away_goalkeeper_saves,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_formation,away_formation,home_players,away_players,home_substitutes,away_substitutes,substitutions_made,home_coach,away_coach
Burnley,Watford,9/26/2016,W,2,0,Jones M. (Eng),18519,Turf Moor (Burnley),0.44,0.56,13,12,4,3,3,4,6,5,14,17,7,6,5,0,3,2,11,15,1,3,4 - 5 - 1,5 - 3 - 2,"[u'Boyd G.', u'Defour S.', u'Gudmundsson J.', u'Heaton T. ', u'Hendrick J.', u'Keane M.', u'Lowton M.', u'Marney D.', u'Mee B.', u'Vokes S.', u'Ward S.']","[u'Amrabat N.', u'Behrami V.', u'Britos M.', u'Capoue E.', u'Cathcart C.', u'Deeney T. ', u'Gomes H. ', u'Holebas J.', u'Ighalo O.', u'Pereyra R.', u'Prodl S.']","[u'Arfield S.', u'Bamford P.', u'Flanagan J.', u'Kightly M.', u""O'Neill A."", u'Robinson P. ', u'Tarkowski J.']","[u'Guedioura A.', u'Kaboul Y.', u'Kenedy', u'Pantilimon C. ', u'Success I.', u'Watson B.', u'Zuniga J.']","[(u'Arfield S.', u'Defour S.'), (u'Kenedy', u'Pereyra R.'), (u'Kightly M.', u'Gudmundsson J.'), (u'Success I.', u'Amrabat N.'), (u'Zuniga J.', u'Cathcart C.')]",Dyche S.,Mazzarri W.
Crystal Palace,Southampton,12/3/2016,W,3,0,Swarbrick N. (Eng),25393,Selhurst Park (London),0.42,0.58,9,17,4,3,3,10,2,4,13,11,4,9,0,0,3,1,11,13,3,1,4 - 2 - 3 - 1,4 - 3 - 3,"[u'Benteke C.', u'Dann S. ', u'Delaney D.', u'Hennessey W. ', u'Ledley J.', u'McArthur J.', u'Puncheon J.', u'Tomkins J.', u'Townsend A.', u'Ward J.', u'Zaha W.']","[u'Austin C.', u'Bertrand R.', u'Boufal S.', u'Cedric A.', u'Fonte J. ', u'Forster F. ', u'Hojbjerg P.', u'Redmond N.', u'Romeu O.', u'van Dijk V.', u'Ward-Prowse J.']","[u'Campbell F.', u'Flamini M.', u'Fryers Z.', u'Kelly M.', u'Lee Chung-Yong', u'Sako B.', u'Speroni J. ']","[u'Clasie J.', u'Davis S.', u'Long S.', u'McQueen S.', u'Sims J.', u'Taylor S. ', u'Yoshida M.']","[(u'Flamini M.', u'McArthur J.'), (u'Long S.', u'Boufal S.'), (u'Kelly M.', u'Tomkins J.'), (u'McQueen S.', u'Austin C.'), (u'Sims J.', u'Hojbjerg P.'), (u'Sako B.', u'Townsend A.')]",Pardew A.,Puel C.
Watford,Hull City,10/29/2016,W,1,0,Moss J. (Eng),20022,Vicarage Road (Watford),0.54,0.46,23,8,0,2,16,4,7,2,8,7,7,2,0,2,2,0,13,8,,,3 - 5 - 2,3 - 5 - 2,"[u'Amrabat N.', u'Behrami V.', u'Britos M.', u'Capoue E.', u'Deeney T. ', u'Gomes H. ', u'Holebas J.', u'Ighalo O.', u'Kaboul Y.', u'Pereyra R.', u'Prodl S.']","[u'Clucas S.', u'Davies C.', u'Dawson M. ', u'Elmohamady A.', u'Henriksen M.', u'Hernandez A.', u'Keane W.', u'Livermore J.', u'Maguire H.', u'Marshall D. ', u'Mason R.']","[u'Guedioura A.', u'Janmaat D.', u'Kabasele C.', u'Pantilimon C. ', u'Sinclair J.', u'Watson B.', u'Zuniga J.']","[u'Bowen J.', u'Huddlestone T.', u'Jakupovic E. ', u'Maloney S.', u'Meyler D.', u'Tymon J.', u'Weir J.']","[(u'Bowen J.', u'Henriksen M.'), (u'Janmaat D.', u'Kaboul Y.'), (u'Kabasele C.', u'Prodl S.'), (u'Meyler D.', u'Keane W.'), (u'Zuniga J.', u'Amrabat N.')]",Mazzarri W.,Phelan M.
Southampton,Swansea,9/18/2016,W,1,0,Jones M. (Eng),29087,St. Mary's Stadium (Southampton),0.53,0.47,19,9,6,3,9,5,4,1,5,14,7,1,5,1,3,5,14,9,1,1,4 - 1 - 2 - 1 - 2,4 - 3 - 3,"[u'Bertrand R.', u'Cedric A.', u'Clasie J.', u'Davis S.', u'Fonte J. ', u'Forster F. ', u'Long S.', u'Redmond N.', u'Romeu O.', u'Tadic D.', u'van Dijk V.']","[u'Amat J.', u'Barrow M.', u'Cork J. ', u'Fabianski L. ', u'Fer L.', u'Fernandez F.', u'Kingsley S.', u'Ki Sung-Yong', u'Llorente F.', u'Naughton K.', u'Sigurdsson G.']","[u'Austin C.', u'Hojbjerg P.', u'Isgrove L.', u'Martina C.', u'McCarthy A. ', u'Reed H.', u'Yoshida M.']","[u'Baston B.', u'Britton L.', u'Montero J.', u'Nordfeldt K. ', u'Rangel A.', u'Routledge W.', u'van der Hoorn M.']","[(u'Austin C.', u'Long S.'), (u'Baston B.', u'Cork J.'), (u'Hojbjerg P.', u'Clasie J.'), (u'Montero J.', u'Ki Sung-Yong'), (u'Martina C.', u'Tadic D.'), (u'Rangel A.', u'Kingsley S.')]",Puel C.,Guidolin F.
Hull City,Arsenal,9/17/2016,L,1,4,East R. (Eng),22536,KC Stadium (Hull),0.39,0.61,6,24,2,9,2,6,2,9,12,11,2,4,3,2,5,1,9,12,0,2,4 - 3 - 3,4 - 2 - 3 - 1,"[u'Al Muhammadi A.', u'Clucas S.', u'Davies C. ', u'Diomande A.', u'Hernandez A.', u'Huddlestone T.', u'Jakupovic E. ', u'Livermore J.', u'Meyler D.', u'Robertson A.', u'Snodgrass R.']","[u'Bellerin H.', u'Cazorla S.', u'Cech P. ', u'Coquelin F.', u'Iwobi A.', u'Koscielny L. ', u'Monreal N.', u'Mustafi S.', u'Ozil M.', u'Sanchez A.', u'Walcott T.']","[u'Henriksen M.', u'Keane W.', u'Maguire H.', u'Maloney S.', u'Marshall D. ', u'Mason R.', u'Mbokani D.']","[u'Elneny M.', u'Gibbs K.', u'Holding R.', u'Ospina D. ', u'Oxlade-Chamberlain A.', u'Perez L.', u'Xhaka G.']","[(u'Elneny M.', u'Iwobi A.'), (u'Maguire H.', u'Diomande A.'), (u'Mason R.', u'Huddlestone T.'), (u'Perez L.', u'Walcott T.'), (u'Mbokani D.', u'Hernandez A.'), (u'Xhaka G.', u'Cazorla S.')]",Phelan M.,Wenger A.
Hull City,West Brom,11/26/2016,D,1,1,Tierney P. (Eng),18086,KC Stadium (Hull),0.53,0.47,10,11,4,2,4,7,2,2,10,8,2,6,1,0,1,3,7,10,3,2,4 - 4 - 1 - 1,4 - 2 - 3 - 1,"[u'Clucas S.', u'Davies C.', u'Dawson M. ', u'Elmohamady A.', u'Henriksen M.', u'Livermore J.', u'Marshall D. ', u'Mason R.', u'Mbokani D.', u'Snodgrass R.', u'Tymon J.']","[u'Brunt C.', u'Dawson C.', u'Evans J.', u'Fletcher D. ', u'Foster B. ', u'McAuley G.', u'Morrison J.', u'Nyom A.', u'Phillips M.', u'Rondon S.', u'Yacob C.']","[u'Bowen J.', u'Diomande A.', u'Huddlestone T.', u'Jakupovic E. ', u'Maguire H.', u'Meyler D.', u'Robertson A.']","[u'Chadli N.', u'Galloway B.', u'Gardner C.', u'McClean J.', u'Olsson J.', u'Palmer A. ', u'Robson-Kanu H.']","[(u'Chadli N.', u'Morrison J.'), (u'Diomande A.', u'Mason R.'), (u'McClean J.', u'Fletcher D.'), (u'Meyler D.', u'Henriksen M.'), (u'Robertson A.', u'Tymon J.'), (u'Robson-Kanu H.', u'Phillips M.')]",Phelan M.,Pulis T.
Stoke City,Tottenham,9/10/2016,L,0,4,Taylor A. (Eng),27385,Bet365 Stadium (Stoke on Trent),0.4,0.6,15,20,2,8,6,4,7,8,17,15,10,8,2,0,4,2,13,18,3,2,4 - 2 - 3 - 1,4 - 2 - 3 - 1,"[u'Allen J.', u'Arnautovic M.', u'Bony W.', u'Cameron G.', u'Given S. ', u'Imbula G.', u'Martins Indi B.', u'Pieters E.', u'Shawcross R. ', u'Walters J.', u'Whelan G.']","[u'Alderweireld T.', u'Alli D.', u'Davies B.', u'Dier E.', u'Eriksen C.', u'Kane H.', u'Lloris H. ', u'Son Heung-Min', u'Vertonghen J.', u'Walker K.', u'Wanyama V.']","[u'Adam C.', u'Bardsley P.', u'Crouch P.', u'Grant L. ', u'Krkic B.', u'Muniesa M.', u'Sobhi R.']","[u'Carter-Vickers C.', u'Janssen V.', u'Lamela E.', u'Sissoko M.', u'Trippier K.', u'Vorm M. ', u'Winks H.']","[(u'Adam C.', u'Imbula G.'), (u'Janssen V.', u'Kane H.'), (u'Lamela E.', u'Wanyama V.'), (u'Sissoko M.', u'Eriksen C.'), (u'Krkic B.', u'Whelan G.')]",Hughes M,Pochettino M.
Chelsea,Leicester,10/15/2016,W,3,0,Marriner A. (Eng),41547,Stamford Bridge (London),0.55,0.45,16,5,6,0,6,3,4,2,13,6,8,5,0,1,0,3,6,12,1,1,3 - 4 - 3,4 - 4 - 2,"[u'Alonso M.', u'Azpilicueta C.', u'Cahill G. ', u'Costa D.', u'Courtois T. ', u'Hazard E.', u'Kante N.', u'Luiz D.', u'Matic N.', u'Moses V.', u'Pedro']","[u'Albrighton M.', u'Amartey D.', u'Drinkwater D.', u'Fuchs Ch.', u'Hernandez L.', u'Huth R.', u'Morgan W. ', u'Musa A.', u'Schlupp J.', u'Schmeichel K. ', u'Vardy J.']","[u'Aina O.', u'Batshuayi M.', u'Begovic A. ', u'Chalobah N.', u'Loftus-Cheek R.', u'Solanke D.', u'Terry J.']","[u'Gray D.', u'King A.', u'Mahrez R.', u'Simpson D.', u'Slimani I.', u'Ulloa L.', u'Zieler R. ']","[(u'Aina O.', u'Moses V.'), (u'King A.', u'Albrighton M.'), (u'Mahrez R.', u'Schlupp J.'), (u'Chalobah N.', u'Pedro'), (u'Loftus-Cheek R.', u'Hazard E.'), (u'Slimani I.', u'Musa A.')]",Conte A.,Ranieri C.
Swansea,Hull City,8/20/2016,L,0,2,Attwell S. (Eng),20024,Liberty Stadium (Swansea),0.57,0.43,23,12,3,4,13,3,7,5,15,7,8,3,0,5,2,3,7,10,,,4 - 2 - 3 - 1,4 - 3 - 3,"[u'Amat J.', u'Barrow M.', u'Cork J. ', u'Fabianski L. ', u'Fer L.', u'Fernandez F.', u'Kingsley S.', u'Llorente F.', u'Naughton K.', u'Routledge W.', u'Sigurdsson G.']","[u'Clucas S.', u'Davies C. ', u'Diomande A.', u'Elmohamady A.', u'Hernandez A.', u'Huddlestone T.', u'Jakupovic E. ', u'Livermore J.', u'Meyler D.', u'Robertson A.', u'Snodgrass R.']","[u'Dyer N.', u'Fulton J.', u'Ki Sung-Yong', u'Montero J.', u'Nordfeldt K. ', u'Rangel A.', u'van der Hoorn M.']","[u'Bowen J.', u'Clackstone J.', u'Kuciak D. ', u'Luer G.', u'Maloney S.', u'Olley G.', u'Tymon J.']","[(u'Dyer N.', u'Barrow M.'), (u'Ki Sung-Yong', u'Fer L.'), (u'Montero J.', u'Routledge W.'), (u'Maloney S.', u'Diomande A.')]",Guidolin F.,Phelan M.
Liverpool,West Brom,10/22/2016,W,2,1,Swarbrick N. (Eng),53218,Anfield Road (Liverpool),0.68,0.32,21,6,7,1,7,3,7,2,16,12,3,2,3,3,0,5,9,13,1,3,4 - 3 - 3,4 - 1 - 4 - 1,"[u'Can E.', u'Clyne N.', u'Coutinho', u'Firmino R.', u'Henderson J. ', u'Karius L. ', u'Lallana A.', u'Lovren D.', u'Mane S.', u'Matip J.', u'Milner J.']","[u'Chadli N.', u'Dawson C.', u'Fletcher D. ', u'Foster B. ', u'McAuley G.', u'McClean J.', u'Nyom A.', u'Olsson J.', u'Phillips M.', u'Rondon S.', u'Yacob C.']","[u'Klavan R.', u'Mignolet S. ', u'Moreno A.', u'Origi D.', u'Lucas Leiva', u'Sturridge D.', u'Wijnaldum G.']","[u'Brunt C.', u'Galloway B.', u'Gardner C.', u'Leko J.', u'Morrison J.', u'Myhill B. ', u'Robson-Kanu H.']","[(u'Brunt C.', u'Yacob C.'), (u'Origi D.', u'Mane S.'), (u'Lucas Leiva', u'Coutinho'), (u'Morrison J.', u'Phillips M.'), (u'Wijnaldum G.', u'Lallana A.'), (u'Robson-Kanu H.', u'McClean J.')]",Klopp J.,Pulis T.
