home_team,away_team,game_date,result,home_goals,away_goals,referee,attendance,venue,home_ball_possession,away_ball_possession,home_goal_attempts,away_goal_attempts,home_shots_on_goal,away_shots_on_goal,home_shots_off_goal,away_shots_off_goal,home_blocked_shots,away_blocked_shots,home_free_kicks,away_free_kicks,home_corner_kicks,away_corner_kicks,home_offsides,away_offsides,home_goalkeeper_saves,away_goalkeeper_saves,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_formation,away_formation,home_players,away_players,home_substitutes,away_substitutes,substitutions_made,home_coach,away_coach
Liverpool,Fulham,11/9/2013,W,4,0,Ilderton E. (Eng),,Anfield Road (Liverpool),0.68,0.32,32,4,10,1,13,2,,,11,17,9,3,4,2,1,6,13,9,0,1,4 - 3 - 1 - 2,4 - 2 - 3 - 1,"[u'Agger D.', u'Cissokho A.', u'Coutinho', u'Gerrard S.', u'Henderson J.', u'Johnson G.', u'Lucas Leiva ', u'Mignolet S. ', u'Skrtel M.', u'Sturridge D.', u'Suarez L.']","[u'Amorebieta F.', u'Berbatov D. ', u'Dejagah A.', u'Kacaniklic A.', u'Kasami P.', u'Parker S.', u'Richardson K.', u'Senderos P.', u'Sidwell S.', u'Stekelenburg M. ', u'Zverotic E.']","[u'Alberto L.', u'Allen J.', u'Enrique J.', u'Jones B.', u'Moses V.', u'Sakho M.', u'Sterling R.']","[u'Bent D.', u'Boateng D.', u'Hughes A.', u'Karagounis G.', u'Ruiz B.', u'Stockdale D.', u'Taarabt A.']","[(u'Allen J.', u'Gerrard S.'), (u'Enrique J.', u'Cissokho A.'), (u'Hughes A.', u'Zverotic E.'), (u'Karagounis G.', u'Berbatov D.'), (u'Moses V.', u'Sturridge D.'), (u'Ruiz B.', u'Kacaniklic A.')]",Rodgers B.,Jol M.
Manchester United,Tottenham,1/1/2014,L,1,2,Webb H. (Eng),,Old Trafford (Manchester),0.61,0.39,16,9,6,4,6,3,,,9,9,13,2,2,2,2,5,7,7,2,1,4 - 2 - 3 - 1,4 - 4 - 2,"[u'Carrick M.', u'Cleverley T.', u'de Gea D. ', u'Evans J. ', u'Evra P.', u'Januzaj A.', u'Rooney W.', u'Smalling C.', u'Valencia A.', u'Vidic N.', u'Welbeck D.']","[u'Adebayor E.', u'Capoue E.', u'Chiriches V.', u'Dawson M. ', u'Dembele M.', u'Eriksen C.', u'Lennon A.', u'Lloris H. ', u'Rose D.', u'Soldado R.', u'Walker K.']","[u'Buttner A.', u'Chicharito', u'Ferdinand R.', u'Fletcher D.', u'Kagawa S.', u'Lindegaard A.', u'Young A.']","[u'Bentaleb N.', u'Chadli N.', u'Fredericks R.', u'Friedel B.', u'Fryers Z.', u'Kane H.', u'Lamela E.']","[(u'Bentaleb N.', u'Capoue E.'), (u'Chicharito', u'Carrick M.'), (u'Chadli N.', u'Adebayor E.'), (u'Kagawa S.', u'Smalling C.'), (u'Kane H.', u'Soldado R.'), (u'Young A.', u'Cleverley T.')]",Moyes D.,Sherwood T.
Tottenham,Fulham,4/19/2014,W,3,1,Probert L. (Eng),,White Hart Lane (London),0.62,0.38,14,11,5,4,5,5,,,14,9,4,5,2,4,3,2,8,11,0,1,4 - 4 - 2,4 - 2 - 3 - 1,"[u'Adebayor E.', u'Chadli N.', u'Eriksen C.', u'Fryers Z.', u'Kaboul Y. ', u'Kane H.', u'Lennon A.', u'Lloris H. ', u'Naughton K.', u'Paulinho', u'Rose D.']","[u'Amorebieta F.', u'Dejagah A.', u'Hangeland B. ', u'Heitinga J.', u'Kacaniklic A.', u'Kvist W.', u'Parker S.', u'Riise J. A.', u'Rodallega H.', u'Sidwell S.', u'Stockdale D. ']","[u'Bentaleb N.', u'Chiriches V.', u'Dembele M.', u'Friedel B. ', u'Sigurdsson G.', u'Soldado R.', u'Townsend A.']","[u'Bent D.', u'Karagounis G.', u'Kasami P.', u'Roberts P.', u'Stekelenburg M. ', u'Woodrow C.', u'Zverotic E.']","[(u'Karagounis G.', u'Parker S.'), (u'Dembele M.', u'Chadli N.'), (u'Soldado R.', u'Kane H.'), (u'Townsend A.', u'Eriksen C.'), (u'Zverotic E.', u'Heitinga J.')]",Sherwood T.,Magath F.
Everton,Newcastle Utd,9/30/2013,W,3,2,,,Goodison Park (Liverpool),0.5,0.5,18,15,7,6,8,5,,,20,10,1,1,3,4,4,4,7,16,3,1,4 - 2 - 3 - 1,4 - 4 - 2,"[u'Baines L.', u'Barkley R.', u'Barry G.', u'Coleman S.', u'Distin S.', u'Howard T. ', u'Jagielka P.', u'Lukaku R.', u'McCarthy J.', u'Mirallas K.', u'Osman L.']","[u'Anita V.', u'Ben Arfa H.', u'Coloccini F.', u'Debuchy M.', u'Gouffran Y.', u'Krul T. ', u'Remy L.', u'Santon D.', u'Sissoko M.', u'Tiote C.', u'Yanga-Mbiwa M.']","[u'Deulofeu G.', u'Heitinga J.', u'Jelavic N.', u'Kone A.', u'Naismith S.', u'Robles J.', u'Stones J.']","[u'Ameobi S.', u'Cabaye Y.', u'Cisse P.', u'Dummett P.', u'Elliot R.', u'Obertan G.', u'Williamson M.']","[(u'Deulofeu G.', u'Mirallas K.'), (u'Cabaye Y.', u'Ben Arfa H.'), (u'Cisse P.', u'Anita V.'), (u'Naismith S.', u'Barkley R.'), (u'Stones J.', u'Osman L.'), (u'Williamson M.', u'Yanga-Mbiwa M.')]",,
Aston Villa,Hull City,5/3/2014,W,3,1,Dean M. (Eng),,Villa Park (Birmingham),0.44,0.56,15,7,9,2,4,3,,,12,14,8,5,0,3,1,6,14,9,,,4 - 4 - 2,3 - 4 - 1 - 2,"[u'Agbonlahor G.', u'Albrighton M.', u'Baker N.', u'Bertrand R.', u'Clark C.', u'Delph F.', u'Guzan B. ', u'Lowton M.', u'Vlaar R. ', u'Weimann A.', u'Westwood A.']","[u'Chester J.', u'Davies C. ', u'Elmohamady A.', u'Figueroa M.', u'Harper S. ', u'Huddlestone T.', u'Jelavic N.', u'Livermore J.', u'Long S.', u'Meyler D.', u'Rosenior L.']","[u'Bacuna L.', u'Bowery J.', u'El Ahmadi K.', u'Holt G.', u'Robinson C.', u'Steer J. ', u'Sylla Y.']","[u'Boyd G.', u'Bruce A.', u'Fryatt M.', u'Jakupovic E. ', u'Koren R.', u'Quinn S.', u'Sagbo Y.']","[(u'Bacuna L.', u'Weimann A.'), (u'Bowery J.', u'Agbonlahor G.)(Own goal'), (u'Bruce A.', u'Chester J.'), (u'El Ahmadi K.', u'Albrighton M.'), (u'Quinn S.', u'Meyler D.'), (u'Sagbo Y.', u'Jelavic N.')]",Lambert P.,Bruce S.
Manchester City,West Ham,5/11/2014,W,2,0,Atkinson M. (Eng),47300,Etihad Stadium (Manchester),0.68,0.32,28,3,7,0,10,3,,,10,9,12,1,2,1,0,5,7,9,2,2,4 - 4 - 2,4 - 2 - 3 - 1,"[u'Aguero S.', u'Demichelis M.', u'Dzeko E.', u'Garcia J.', u'Hart J. ', u'Kolarov A.', u'Kompany V. ', u'Nasri S.', u'Silva D.', u'Toure Y.', u'Zabaleta P.']","[u'Adrian ', u'Carroll A.', u'Diame M.', u'Downing S.', u'McCartney G.', u'Noble M.', u'Nolan K. ', u""O'Brien J."", u'Reid W.', u'Taylor M.', u'Tomkins J.']","[u'Clichy G.', u'Jovetic S.', u'Lescott J.', u'Milner J.', u'Negredo A.', u'Pantilimon C. ', u'Fernandinho']","[u'Armero P.', u'Cole C.', u'Cole J.', u'Collins J.', u'Jaaskelainen J. ', u'Jarvis M.', u'Vaz Te R.']","[(u'Cole C.', u'Carroll A.'), (u'Cole J.', u'Diame M.'), (u'Milner J.', u'Silva D.'), (u'Negredo A.', u'Toure Y.'), (u'Jarvis M.', u'Nolan K.'), (u'Fernandinho', u'Dzeko E.')]",Pellegrini M.,Allardyce S.
Arsenal,Hull City,12/4/2013,W,2,0,Marriner A. (Eng),,Emirates Stadium (London),0.67,0.33,20,7,7,2,8,2,,,8,9,11,1,1,2,2,5,9,6,,,4 - 2 - 3 - 1,3 - 1 - 4 - 2,"[u'Bendtner N.', u'Cazorla S.', u'Flamini M.', u'Jenkinson C.', u'Koscielny L.', u'Mertesacker P.', u'Monreal N.', u'Ozil M.', u'Ramsey A.', u'Rosicky T.', u'Szczesny W. ']","[u'Brady R.', u'Bruce A.', u'Chester J.', u'Elmohamady A.', u'Figueroa M.', u'Graham D.', u'Huddlestone T.', u'Livermore J.', u'McGregor A. ', u'Meyler D.', u'Sagbo Y.']","[u'Arteta M.', u'Fabianski L.', u'Gibbs K.', u'Giroud O.', u'Vermaelen T.', u'Walcott T.', u'Wilshere J.']","[u'Boyd G.', u'Diagne-Faye A.', u'Fryatt M.', u'Gedo M.', u'Harper S.', u'Koren R.', u'Rosenior L.']","[(u'Arteta M.', u'Ramsey A.'), (u'Boyd G.', u'Graham D.'), (u'Gedo M.', u'Sagbo Y.'), (u'Walcott T.', u'Bendtner N.'), (u'Wilshere J.', u'Rosicky T.'), (u'Rosenior L.', u'Brady R.')]",Wenger A.,Bruce S.
Swansea,Stoke City,11/10/2013,D,3,3,Swarbrick N. (Eng),,Liberty Stadium (Swansea),0.65,0.35,17,6,6,3,4,2,,,15,13,14,3,3,0,0,3,12,15,5,3,4 - 2 - 3 - 1,4 - 2 - 3 - 1,"[u'Bony W.', u'Britton L.', u'Davies B.', u'de Guzman J.', u'Flores C.', u'Lamah R.', u'Pozuelo A.', u'Rangel A.', u'Routledge W.', u'Tremmel G. ', u'Williams A.']","[u'Arnautovic M.', u'Begovic A. ', u'Cameron G.', u'Crouch P.', u'Huth R.', u'Ireland S.', u""N'Zonzi S."", u'Palacios W.', u'Pieters E.', u'Shawcross R.', u'Walters J.']","[u'Amat J.', u'Canas J.', u'Dyer N.', u'Shelvey J.', u'Taylor N.', u'Vazquez A.', u'Zabret G.']","[u'Adam C.', u'Assaidi O.', u'Etherington M.', u'Jones K.', u'Sorensen T.', u'Whelan G.', u'Wilson M.']","[(u'Adam C.', u'Palacios W.)(Penalty'), (u'Canas J.', u'Pozuelo A.'), (u'Dyer N.', u'Lamah R.'), (u'Etherington M.', u'Arnautovic M.'), (u'Shelvey J.', u'de Guzman J.'), (u'Wilson M.', u'Ireland S.')]",Laudrup M.,
Arsenal,Manchester City,3/29/2014,D,1,1,Dean M. (Eng),,Emirates Stadium (London),0.48,0.52,10,15,3,4,6,7,,,10,12,6,6,2,0,3,2,8,11,1,4,4 - 2 - 3 - 1,4 - 2 - 3 - 1,"[u'Arteta M.', u'Cazorla S.', u'Flamini M.', u'Gibbs K.', u'Giroud O.', u'Mertesacker P.', u'Podolski L.', u'Rosicky T.', u'Sagna B.', u'Szczesny W. ', u'Vermaelen T. ']","[u'Clichy G.', u'Demichelis M.', u'Dzeko E.', u'Fernandinho', u'Hart J. ', u'Kompany V. ', u'Nasri S.', u'Navas J.', u'Silva D.', u'Toure Y.', u'Zabaleta P.']","[u'Bellerin H.', u'Fabianski L. ', u'Gnabry S.', u'Jenkinson C.', u'Kallstrom K.', u'Oxlade-Chamberlain A.', u'Sanogo Y.']","[u'Garcia J.', u'Jovetic S.', u'Kolarov A.', u'Lescott J.', u'Milner J.', u'Negredo A.', u'Pantilimon C. ']","[(u'Garcia J.', u'Nasri S.'), (u'Milner J.', u'Navas J.'), (u'Oxlade-Chamberlain A.', u'Podolski L.'), (u'Negredo A.', u'Dzeko E.'), (u'Sanogo Y.', u'Giroud O.')]",Wenger A.,Pellegrini M.
Crystal Palace,Arsenal,10/26/2013,L,0,2,,,Selhurst Park (London),0.37,0.63,13,10,4,4,7,5,,,10,13,4,3,2,2,2,4,12,8,,,4 - 3 - 2 - 1,4 - 2 - 3 - 1,"[u'Bannan B.', u'Chamakh M.', u'Delaney D.', u'Dikgacoi K.', u'Gabbidon D.', u'Guedioura A.', u'Jedinak M.', u'Moxey D.', u'Speroni J. ', u'Thomas J.', u'Ward J.']","[u'Arteta M.', u'Cazorla S.', u'Flamini M.', u'Gibbs K.', u'Giroud O.', u'Koscielny L.', u'Mertesacker P.', u'Ozil M.', u'Ramsey A.', u'Sagna B.', u'Szczesny W. ']","[u'Bolasie Y.', u'Gayle D.', u'Kebe J.', u'Mariappa A.', u""O'Keefe S."", u'Price L.', u'Puncheon J.']","[u'Bendtner N.', u'Fabianski L.', u'Gnabry S.', u'Monreal N.', u'Rosicky T.', u'Vermaelen T.', u'Wilshere J.']","[(u'Bolasie Y.', u'Thomas J.'), (u'Gayle D.', u'Bannan B.'), (u'Kebe J.', u'Guedioura A.'), (u'Gnabry S.', u'Flamini M.)(Wilshere J.'), (u'Monreal N.', u'Cazorla S.'), (u'Wilshere J.', u'Gnabry S.')]",,
