home_team,away_team,game_date,name,team,goals,assists,goal_attempts,shots_on_goal,blocked_shots,offsides,fouls_committed,fouls_sufferred,yellow_cards,red_cards,pass_success,total_passes
Burnley,Watford,9/26/2016,Amrabat N.,WAT,0,0,0,0,0,0,2,1,0,0,55,20
Burnley,Watford,9/26/2016,Bamford P.,BUR,0,0,0,0,0,0,0,0,0,0,0,0
Burnley,Watford,9/26/2016,Boyd G.,BUR,0,0,2,1,0,1,0,1,0,0,71.4,28
Burnley,Watford,9/26/2016,Capoue E.,WAT,0,0,2,0,0,0,1,1,0,0,83.1,65
Burnley,Watford,9/26/2016,Deeney T.,WAT,0,0,3,1,0,0,2,0,0,0,54.2,24
Burnley,Watford,9/26/2016,Flanagan J.,BUR,0,0,0,0,0,0,0,0,0,0,0,0
Burnley,Watford,9/26/2016,Gudmundsson J.,BUR,0,0,2,0,0,0,0,0,0,0,56,25
Burnley,Watford,9/26/2016,Heaton T.,BUR,0,0,0,0,0,0,0,0,0,0,44.4,27
Burnley,Watford,9/26/2016,Holebas J.,WAT,0,0,3,0,1,0,1,2,1,0,75.7,37
Burnley,Watford,9/26/2016,Kaboul Y.,WAT,0,0,0,0,0,0,0,0,0,0,0,0
Burnley,Watford,9/26/2016,Kenedy R.,WAT,0,0,0,0,0,0,1,0,0,0,100,7
Burnley,Watford,9/26/2016,Lowton M.,BUR,0,0,0,0,0,0,2,1,1,0,70,40
Burnley,Watford,9/26/2016,Mee B.,BUR,0,0,0,0,1,0,0,2,0,0,61.5,39
Burnley,Watford,9/26/2016,Pantilimon C.,WAT,0,0,0,0,0,0,0,0,0,0,0,0
Burnley,Watford,9/26/2016,Prodl S.,WAT,0,0,0,0,3,0,1,2,0,0,69.2,52
Burnley,Watford,9/26/2016,Success I.,WAT,0,0,1,1,0,0,1,2,1,0,63.6,11
Burnley,Watford,9/26/2016,Vokes S.,BUR,0,0,3,0,1,3,1,2,0,0,55.2,29
Burnley,Watford,9/26/2016,Watson B.,WAT,0,0,0,0,0,0,0,0,0,0,0,0
