home_team,away_team,game_date,name,team,goals,assists,goal_attempts,shots_on_goal,blocked_shots,offsides,fouls_committed,fouls_sufferred,yellow_cards,red_cards,pass_success,total_passes
Southampton,Swansea,2/1/2015,Amat J.,SWA,0,0,0,0,0,0,0,0,0,0,0,0
Southampton,Swansea,2/1/2015,Bertrand R.,SOU,0,0,2,0,0,0,2,3,0,1,93,71
Southampton,Swansea,2/1/2015,Clyne N.,SOU,0,0,0,0,0,0,0,0,0,0,82.9,70
Southampton,Swansea,2/1/2015,Davis S.,SOU,0,0,1,0,0,0,0,1,0,0,85.7,84
Southampton,Swansea,2/1/2015,Elia E.,SOU,0,0,0,0,0,0,4,1,0,0,81.1,37
Southampton,Swansea,2/1/2015,Fabianski L.,SWA,0,0,0,0,0,0,0,0,0,0,70,30
Southampton,Swansea,2/1/2015,Fonte J.,SOU,0,0,2,0,2,0,0,0,0,0,91.6,83
Southampton,Swansea,2/1/2015,Fulton J.,SWA,0,0,0,0,1,0,1,0,0,0,76.1,46
Southampton,Swansea,2/1/2015,Gardos F.,SOU,0,0,0,0,0,0,0,0,0,0,0,0
Southampton,Swansea,2/1/2015,Grimes M.,SWA,0,0,0,0,0,0,0,0,0,0,0,0
Southampton,Swansea,2/1/2015,Naughton K.,SWA,0,0,0,0,0,0,1,1,0,0,63,54
Southampton,Swansea,2/1/2015,Pelle G.,SOU,0,0,2,0,0,0,1,1,0,0,60,40
Southampton,Swansea,2/1/2015,Reed H.,SOU,0,0,1,0,0,0,0,0,0,0,87.8,49
Southampton,Swansea,2/1/2015,Shelvey J.,SWA,1,0,3,1,0,0,0,1,0,0,67.7,34
Southampton,Swansea,2/1/2015,Targett M.,SOU,0,0,0,0,0,0,0,0,0,0,0,0
Southampton,Swansea,2/1/2015,Tiendalli D.,SWA,0,0,0,0,0,0,0,0,0,0,0,0
Southampton,Swansea,2/1/2015,Ward-Prowse J.,SOU,0,0,3,3,0,0,0,0,0,0,87.5,48
Southampton,Swansea,2/1/2015,Yoshida M.,SOU,0,0,0,0,0,0,4,0,1,0,91.5,82
Southampton,Swansea,2/1/2015,Barrow M.,SWA,0,1,0,0,0,1,2,3,0,0,70.8,24
Southampton,Swansea,2/1/2015,Carroll T.,SWA,0,0,0,0,0,0,0,0,0,0,90.7,54
Southampton,Swansea,2/1/2015,Davis K.,SOU,0,0,0,0,0,0,0,0,0,0,0,0
Southampton,Swansea,2/1/2015,Dyer N.,SWA,0,0,0,0,0,0,0,1,0,0,83.9,31
Southampton,Swansea,2/1/2015,Emnes M.,SWA,0,0,0,0,0,0,1,0,0,0,100,3
Southampton,Swansea,2/1/2015,Fernandez F.,SWA,0,0,1,0,2,0,0,0,0,0,85.7,28
Southampton,Swansea,2/1/2015,Forster F.,SOU,0,0,0,0,0,0,0,0,0,0,78.3,23
Southampton,Swansea,2/1/2015,Gape D.,SOU,0,0,0,0,0,0,0,0,0,0,0,0
Southampton,Swansea,2/1/2015,Gomis B.,SWA,0,0,2,0,0,2,1,4,0,0,76.9,26
Southampton,Swansea,2/1/2015,Mane S.,SOU,0,0,3,3,0,0,0,0,0,0,92.3,13
Southampton,Swansea,2/1/2015,Oliveira N.,SWA,0,0,0,0,0,0,0,0,0,0,0,0
Southampton,Swansea,2/1/2015,Rangel A.,SWA,0,0,0,0,0,0,0,0,0,0,42.9,7
Southampton,Swansea,2/1/2015,Seager R.,SOU,0,0,0,0,0,0,0,0,0,0,0,0
Southampton,Swansea,2/1/2015,Tadic D.,SOU,0,0,1,0,0,0,0,2,0,0,73.9,46
Southampton,Swansea,2/1/2015,Taylor N.,SWA,0,0,0,0,0,0,3,0,1,0,85.7,35
Southampton,Swansea,2/1/2015,Tremmel G.,SWA,0,0,0,0,0,0,0,0,0,0,0,0
Southampton,Swansea,2/1/2015,Williams A.,SWA,0,0,0,0,4,0,0,0,0,0,88.9,27
Crystal Palace,Hull City,4/25/2015,Aluko S.,HUL,0,0,1,0,0,0,2,1,0,0,95.7,23
Crystal Palace,Hull City,4/25/2015,Brady R.,HUL,0,1,1,1,0,0,2,0,0,0,81.8,33
Crystal Palace,Hull City,4/25/2015,Chester J.,HUL,0,0,1,0,0,0,0,0,0,0,83.9,31
Crystal Palace,Hull City,4/25/2015,Dawson M.,HUL,0,0,0,0,0,0,0,1,0,0,56.7,30
Crystal Palace,Hull City,4/25/2015,Elmohamady A.,HUL,0,0,2,0,0,0,1,0,0,0,77.8,45
Crystal Palace,Hull City,4/25/2015,Gayle D.,CRY,0,0,1,0,0,0,0,0,0,0,83.3,6
Crystal Palace,Hull City,4/25/2015,Harper S.,HUL,0,0,0,0,0,0,0,2,0,0,48.3,29
Crystal Palace,Hull City,4/25/2015,Hernandez A.,HUL,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Hull City,4/25/2015,Jedinak M.,CRY,0,0,0,0,0,0,1,2,0,0,72,25
Crystal Palace,Hull City,4/25/2015,Ledley J.,CRY,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Hull City,4/25/2015,Livermore J.,HUL,0,0,3,1,0,0,1,0,0,0,88.9,45
Crystal Palace,Hull City,4/25/2015,McGregor A.,HUL,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Hull City,4/25/2015,Murray G.,CRY,0,0,2,2,0,1,1,1,0,0,60,10
Crystal Palace,Hull City,4/25/2015,N'Doye D.,HUL,2,0,7,4,0,0,1,4,0,0,82.1,28
Crystal Palace,Hull City,4/25/2015,Quinn S.,HUL,0,0,0,0,0,0,0,5,0,0,87,46
Crystal Palace,Hull City,4/25/2015,Rosenior L.,HUL,0,0,1,0,0,0,0,0,0,0,0,0
Crystal Palace,Hull City,4/25/2015,Sanogo Y.,CRY,0,0,1,0,0,1,4,0,0,0,50,6
Crystal Palace,Hull City,4/25/2015,Speroni J.,CRY,0,0,0,0,0,0,0,0,0,0,44.1,34
Crystal Palace,Hull City,4/25/2015,Bolasie Y.,CRY,0,0,0,0,0,1,0,1,0,0,81.3,16
Crystal Palace,Hull City,4/25/2015,Bruce A.,HUL,0,0,0,0,0,0,1,0,0,0,66.7,3
Crystal Palace,Hull City,4/25/2015,Dann S.,CRY,0,0,0,0,2,0,1,0,0,0,71.4,35
Crystal Palace,Hull City,4/25/2015,Delaney D.,CRY,0,0,0,0,0,0,0,1,0,0,76,25
Crystal Palace,Hull City,4/25/2015,Figueroa M.,HUL,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Hull City,4/25/2015,Hangeland B.,CRY,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Hull City,4/25/2015,Hennessey W.,CRY,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Hull City,4/25/2015,Huddlestone T.,HUL,0,0,5,1,0,0,1,0,0,0,86.4,44
Crystal Palace,Hull City,4/25/2015,Kelly M.,CRY,0,0,0,0,0,0,0,0,0,0,72.5,40
Crystal Palace,Hull City,4/25/2015,Lee Chung-Yong,CRY,0,0,0,0,0,0,1,0,0,0,70.6,17
Crystal Palace,Hull City,4/25/2015,McArthur J.,CRY,0,0,0,0,2,0,2,0,0,0,88.9,45
Crystal Palace,Hull City,4/25/2015,McShane P.,HUL,0,0,0,0,1,0,1,1,0,0,64.7,34
Crystal Palace,Hull City,4/25/2015,Mutch J.,CRY,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Hull City,4/25/2015,Puncheon J.,CRY,0,0,2,0,0,0,1,1,0,0,81.1,53
Crystal Palace,Hull City,4/25/2015,Ramirez G.,HUL,0,1,0,0,0,0,0,0,0,0,100,7
Crystal Palace,Hull City,4/25/2015,Sagbo Y.,HUL,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Hull City,4/25/2015,Souare P.,CRY,0,0,0,0,0,0,1,1,0,0,84.4,32
Crystal Palace,Hull City,4/25/2015,Zaha W.,CRY,0,0,1,1,0,2,3,3,0,0,85.7,7
Manchester City,Manchester United,11/2/2014,Aguero S.,MAC,1,0,5,4,1,2,0,1,0,0,81,21
Manchester City,Manchester United,11/2/2014,Boyata D.,MAC,0,0,0,0,0,0,0,0,0,0,0,0
Manchester City,Manchester United,11/2/2014,Carrick M.,MAU,0,0,0,0,0,0,0,1,0,0,90,20
Manchester City,Manchester United,11/2/2014,de Gea D.,MAU,0,0,0,0,0,0,0,0,0,0,55,40
Manchester City,Manchester United,11/2/2014,Di Maria A.,MAU,0,0,3,1,1,0,0,2,0,0,65.1 ,43
Manchester City,Manchester United,11/2/2014,Fellaini M.,MAU,0,0,2,0,0,1,2,2,0,0,90.4 ,52
Manchester City,Manchester United,11/2/2014,Fernando,MAC,0,0,0,0,0,0,2,1,1,0,85.7 ,49
Manchester City,Manchester United,11/2/2014,Hart J.,MAC,0,0,0,0,0,0,0,1,0,0,75,20
Manchester City,Manchester United,11/2/2014,Januzaj A.,MAU,0,0,1,0,0,0,0,2,0,0,66.7 ,9
Manchester City,Manchester United,11/2/2014,Kompany V.,MAC,0,0,0,0,0,0,1,0,0,0,84.8 ,46
Manchester City,Manchester United,11/2/2014,Mata J.,MAU,0,0,0,0,0,0,0,0,0,0,0,0
Manchester City,Manchester United,11/2/2014,Milner J.,MAC,0,0,0,0,0,1,1,1,0,0,79.3 ,29
Manchester City,Manchester United,11/2/2014,Navas J.,MAC,0,0,3,1,1,0,0,1,0,0,84.6 ,39
Manchester City,Manchester United,11/2/2014,Rooney W.,MAU,0,0,0,0,0,0,0,3,0,0,73.9 ,65
Manchester City,Manchester United,11/2/2014,Shaw L.,MAU,0,0,0,0,0,0,1,0,0,0,90.5 ,21
Manchester City,Manchester United,11/2/2014,Smalling C.,MAU,0,0,0,0,0,0,3,0,2,1,87.5 ,32
Manchester City,Manchester United,11/2/2014,Valencia A.,MAU,0,0,0,0,0,0,0,1,0,0,82,50
Manchester City,Manchester United,11/2/2014,Wilson J.,MAU,0,0,0,0,0,0,0,0,0,0,50,4
Manchester City,Manchester United,11/2/2014,Blind D.,MAU,0,0,0,0,0,0,1,0,1,0,90.4 ,52
Manchester City,Manchester United,11/2/2014,Caballero W.,MAC,0,0,0,0,0,0,0,0,0,0,0,0
Manchester City,Manchester United,11/2/2014,Clichy G.,MAC,0,1,0,0,0,0,1,0,0,0,75.9 ,54
Manchester City,Manchester United,11/2/2014,Demichelis M.,MAC,0,0,0,0,0,0,3,1,1,0,83.3 ,54
Manchester City,Manchester United,11/2/2014,Dzeko E.,MAC,0,0,0,0,0,0,0,0,0,0,100,3
Manchester City,Manchester United,11/2/2014,Fernandinho,MAC,0,0,0,0,0,0,1,0,0,0,60,5
Manchester City,Manchester United,11/2/2014,Fletcher D.,MAU,0,0,0,0,0,0,0,0,0,0,0,0
Manchester City,Manchester United,11/2/2014,Herrera A.,MAU,0,0,0,0,0,0,0,0,0,0,0,0
Manchester City,Manchester United,11/2/2014,Jovetic S.,MAC,0,0,4,1,2,0,3,2,0,0,75.9 ,29
Manchester City,Manchester United,11/2/2014,Lindegaard A.,MAU,0,0,0,0,0,0,0,0,0,0,0,0
Manchester City,Manchester United,11/2/2014,McNair P.,MAU,0,0,0,0,0,0,0,0,0,0,79,19
