home_team,away_team,game_date,result,home_goals,away_goals,referee,attendance,venue,home_ball_possession,away_ball_possession,home_goal_attempts,away_goal_attempts,home_shots_on_goal,away_shots_on_goal,home_shots_off_goal,away_shots_off_goal,home_blocked_shots,away_blocked_shots,home_free_kicks,away_free_kicks,home_corner_kicks,away_corner_kicks,home_offsides,away_offsides,home_goalkeeper_saves,away_goalkeeper_saves,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_formation,away_formation,home_players,away_players,home_substitutes,away_substitutes,substitutions_made,home_coach,away_coach
Liverpool,Hull City,10/25/2014,D,0,0,Swarbrick N. (Eng),44591,Anfield Road (Liverpool),0.66,0.34,17,6,4,3,6,2,,,18,13,14,1,1,1,3,4,12,17,3,2,4 - 3 - 3,3 - 4 - 2 - 1,"[u'Allen J.', u'Balotelli M.', u'Can E.', u'Gerrard S. ', u'Lallana A.', u'Lovren D.', u'Manquillo J.', u'Mignolet S. ', u'Moreno A.', u'Skrtel M.', u'Sterling R.']","[u'Ben Arfa H.', u'Brady R.', u'Bruce A.', u'Chester J.', u'Davies C. ', u'Diame M.', u'Elmohamady A.', u'Hernandez A.', u'Huddlestone T.', u'Jakupovic E. ', u'Livermore J.']","[u'Coutinho', u'Henderson J.', u'Johnson G.', u'Jones B. ', u'Lambert R.', u'Markovic L.', u'Toure K.']","[u'Aluko S.', u'McShane P.', u'Meyler D.', u'Quinn S.', u'Ramirez G.', u'Rosenior L.', u'Watson R. ']","[(u'Coutinho', u'Allen J.'), (u'Aluko S.', u'Ben Arfa H.'), (u'Henderson J.', u'Can E.'), (u'Meyler D.', u'Diame M.'), (u'Lambert R.', u'Lallana A.'), (u'Ramirez G.', u'Hernandez A.')]",Rodgers B.,Bruce S.
Manchester United,West Ham,9/27/2014,W,2,1,Mason L. (Eng),75317,Old Trafford (Manchester),0.57,0.43,8,13,3,4,3,5,,,16,12,7,10,2,4,3,1,10,12,1,3,4 - 3 - 1 - 2,4 - 2 - 3 - 1,"[u'Blind D.', u'de Gea D. ', u'Di Maria A.', u'Falcao', u'Herrera A.', u'McNair P.', u'Rafael', u'Rojo M.', u'Rooney W. ', u'Shaw L.', u'van Persie R.']","[u'Adrian ', u'Amalfitano M.', u'Cresswell A.', u'Demel G.', u'Downing S.', u'Poyet D.', u'Reid W.', u'Sakho D.', u'Song A. ', u'Tomkins J.', u'Valencia E.']","[u'Fletcher D.', u'Januzaj A.', u'Lindegaard A. ', u'Mata', u'Pereira A.', u'Thorpe T.', u'Valencia A.']","[u'Cole C.', u'Collins J.', u'Jaaskelainen J. ', u'Jenkinson C.', u'Nolan K.', u'Vaz Te R.', u'Zarate M.']","[(u'Fletcher D.', u'Falcao'), (u'Cole C.', u'Amalfitano M.'), (u'Jenkinson C.', u'Demel G.'), (u'Nolan K.', u'Poyet D.'), (u'Thorpe T.', u'Di Maria A.'), (u'Valencia A.', u'Herrera A.')]",van Gaal L.,Allardyce S.
Sunderland,Stoke City,10/4/2014,W,3,1,Swarbrick N. (Eng),42713,Stadium of Light (Sunderland),0.39,0.61,8,11,3,5,0,4,,,19,14,7,4,3,2,4,0,10,17,3,4,4 - 1 - 4 - 1,4 - 2 - 3 - 1,"[u'Buckley W.', u'Cattermole L.', u'Fletcher S.', u'Gomez J.', u'Jones B.', u'Larsson S.', u'Mannone V. ', u""O'Shea J. "", u'van Aanholt P.', u'Vergini S.', u'Wickham C.']","[u'Adam C.', u'Arnautovic M.', u'Bardsley P.', u'Begovic A. ', u'Crouch P.', u'Moses V.', u'Muniesa M.', u""N'Zonzi S."", u'Shawcross R. ', u'Whelan G.', u'Wilson M.']","[u'Altidore J.', u'Bridcutt L.', u'Brown W.', u'Johnson A.', u'Mavrias Ch.', u'Pantilimon C. ', u'Rodwell J.']","[u'Assaidi O.', u'Huth R.', u'Ireland S.', u'Krkic B.', u'Pieters E.', u'Sorensen T. ', u'Walters J.']","[(u'Assaidi O.', u'Moses V.'), (u'Bridcutt L.', u'Gomez J.'), (u'Johnson A.', u'Buckley W.'), (u'Krkic B.', u'Whelan G.'), (u'Rodwell J.', u'Larsson S.'), (u'Walters J.', u'Crouch P.')]",Poyet G.,Hughes M
Hull City,West Ham,9/15/2014,D,2,2,Atkinson M. (Eng),21275,KC Stadium (Hull),0.41,0.59,11,16,6,4,4,4,,,9,13,3,10,1,1,2,4,12,7,3,1,4 - 4 - 2,4 - 3 - 1 - 2,"[u'Davies C. ', u'Dawson M.', u'Diame M.', u'Elmohamady A.', u'Hernandez A.', u'Huddlestone T.', u'Jelavic N.', u'Livermore J.', u'McGregor A. ', u'Quinn S.', u'Robertson A.']","[u'Adrian ', u'Cresswell A.', u'Demel G.', u'Downing S.', u'Kouyate C.', u'Noble M. ', u'Reid W.', u'Sakho D.', u'Tomkins J.', u'Valencia E.', u'Zarate M.']","[u'Ben Arfa H.', u'Brady R.', u'Chester J.', u'Harper S. ', u'Meyler D.', u'Ramirez G.', u'Rosenior L.']","[u'Amalfitano M.', u'Cole C.', u'Collins J.', u'Jaaskelainen J. ', u'Jenkinson C.', u'Song A.', u'Vaz Te R.']","[(u'Ben Arfa H.', u'Hernandez A.'), (u'Amalfitano M.', u'Sakho D.'), (u'Brady R.', u'Quinn S.'), (u'Jenkinson C.', u'Demel G.'), (u'Ramirez G.', u'Diame M.'), (u'Song A.', u'Zarate M.')]",Bruce S.,Allardyce S.
Swansea,Manchester City,5/17/2015,L,2,4,Clattenburg M. (Eng),,Liberty Stadium (Swansea),0.47,0.53,13,22,9,11,2,5,,,10,9,11,7,0,2,7,7,8,8,0,3,4 - 2 - 3 - 1,4 - 2 - 3 - 1,"[u'Cork J.', u'Dyer N.', u'Fabianski L. ', u'Fernandez F.', u'Gomis B.', u'Montero J.', u'Richards J.', u'Shelvey J.', u'Sigurdsson G.', u'Taylor N.', u'Williams A. ']","[u'Aguero S.', u'Demichelis M.', u'Fernandinho', u'Hart J. ', u'Kolarov A.', u'Lampard F.', u'Mangala E.', u'Milner J.', u'Silva D.', u'Toure Y. ', u'Zabaleta P.']","[u'Barrow M.', u'Bartley K.', u'Britton L.', u'Emnes M.', u'Grimes M.', u'Tiendalli D.', u'Tremmel G. ']","[u'Bony W.', u'Caballero W. ', u'Clichy G.', u'Dzeko E.', u'Jovetic S.', u'Kompany V.', u'Navas J.']","[(u'Barrow M.', u'Dyer N.'), (u'Bony W.', u'Toure Y.'), (u'Britton L.', u'Shelvey J.'), (u'Emnes M.', u'Sigurdsson G.'), (u'Kompany V.', u'Fernandinho'), (u'Navas J.', u'Lampard F.')]",Monk G.,Pellegrini M.
Aston Villa,Swansea,3/21/2015,L,0,1,Madley R. (Eng),,Villa Park (Birmingham),0.43,0.57,9,11,3,6,5,1,,,16,12,4,9,1,7,5,3,13,9,,,4 - 4 - 2,4 - 3 - 1 - 2,"[u'Agbonlahor G.', u'Bacuna L.', u'Benteke C.', u'Clark C.', u'Cleverley T.', u'Delph F. ', u'Guzan B. ', u'Hutton A.', u""N'Zogbia C."", u'Okore J.', u'Sinclair S.']","[u'Cork J.', u'Fabianski L. ', u'Fernandez F.', u'Gomis B.', u'Ki Sung-Yong', u'Naughton K.', u'Routledge W.', u'Shelvey J.', u'Sigurdsson G.', u'Taylor N.', u'Williams A. ']","[u'Gil C.', u'Given S. ', u'Grealish J.', u'Kinsella L.', u'Sanchez C.', u'Weimann A.', u'Westwood A.']","[u'Amat J.', u'Dyer N.', u'Fulton J.', u'Montero J.', u'Oliveira N.', u'Rangel A.', u'Tremmel G. ']","[(u'Dyer N.', u'Shelvey J.'), (u'Montero J.', u'Sigurdsson G.'), (u'Sanchez C.', u'Cleverley T.'), (u'Oliveira N.', u'Gomis B.'), (u'Weimann A.', u'Benteke C.'), (u'Westwood A.', u""N'Zogbia C."")]",Sherwood T.,Monk G.
Manchester United,Leicester,1/31/2015,W,3,1,Atkinson M. (Eng),75329,Old Trafford (Manchester),0.72,0.28,12,4,5,1,4,3,,,13,12,4,3,3,1,0,2,8,12,0,1,4 - 1 - 3 - 2,4 - 4 - 2,"[u'Blind D.', u'de Gea D. ', u'Di Maria A.', u'Falcao', u'Januzaj A.', u'Jones P.', u'Rojo M.', u'Rooney W. ', u'Shaw L.', u'Valencia A.', u'van Persie R.']","[u'De Laet R.', u'Drinkwater D.', u'King A.', u'Kramaric A.', u'Morgan W. ', u'Schlupp J.', u'Schwarzer M. ', u'Simpson D.', u'Ulloa L.', u'Vardy J.', u'Wasilewski M.']","[u'Fellaini M.', u'Herrera A.', u'Mata', u'McNair P.', u'Smalling C.', u'Valdes V. ', u'Wilson J.']","[u'Albrighton M.', u'Cambiasso E.', u'Hamer B. ', u'Hammond D.', u'Konchesky P.', u'Nugent D.', u'Upson M.']","[(u'Albrighton M.', u'Kramaric A.'), (u'Cambiasso E.', u'Vardy J.'), (u'Mata', u'Valencia A.'), (u'McNair P.', u'van Persie R.'), (u'Nugent D.', u'Ulloa L.'), (u'Wilson J.', u'Falcao')]",van Gaal L.,Pearson N.
Southampton,Arsenal,1/1/2015,W,2,0,Pawson C. (Eng),31492,St. Mary's Stadium (Southampton),0.41,0.59,13,11,6,6,5,4,,,8,15,2,7,1,1,6,4,14,7,2,1,4 - 2 - 3 - 1,4 - 2 - 3 - 1,"[u'Alderweireld T.', u'Bertrand R.', u'Davis S.', u'Fonte J. ', u'Forster F. ', u'Gardos F.', u'Mane S.', u'Pelle G.', u'Tadic D.', u'Wanyama V.', u'Ward-Prowse J.']","[u'Cazorla S.', u'Chambers C.', u'Coquelin F.', u'Debuchy M.', u'Gibbs K.', u'Koscielny L.', u'Mertesacker P. ', u'Oxlade-Chamberlain A.', u'Rosicky T.', u'Sanchez A.', u'Szczesny W. ']","[u'Davis K. ', u'Isgrove L.', u'Long S.', u'McCarthy J.', u'Reed H.', u'Targett M.', u'Yoshida M.']","[u'Akpom Ch.', u'Bellerin H.', u'Campbell J.', u'Maitland-Niles A.', u'Martinez D. ', u'Monreal N.', u'Walcott T.']","[(u'Akpom Ch.', u'Debuchy M.'), (u'Long S.', u'Tadic D.'), (u'Reed H.', u'Mane S.'), (u'Yoshida M.', u'Gardos F.'), (u'Walcott T.', u'Chambers C.')]",Koeman R.,Wenger A.
Leicester,West Ham,4/4/2015,W,2,1,Clattenburg M. (Eng),,King Power Stadium (Leicester),0.5,0.5,20,14,7,7,9,7,,,10,15,7,6,3,1,6,5,12,10,0,4,4 - 2 - 3 - 1,4 - 3 - 2 - 1,"[u'Cambiasso E.', u'De Laet R.', u'Huth R.', u'James M.', u'Mahrez R.', u'Morgan W. ', u'Nugent D.', u'Schlupp J.', u'Schmeichel K. ', u'Ulloa L.', u'Vardy J.']","[u'Adrian ', u'Collins J.', u'Cresswell A.', u'Downing S.', u'Jenkinson C.', u'Kouyate C.', u'Noble M.', u'Nolan K. ', u'Reid W.', u'Sakho D.', u'Song A.']","[u'Albrighton M.', u'Drinkwater D.', u'King A.', u'Konchesky P.', u'Kramaric A.', u'Schwarzer M. ', u'Wasilewski M.']","[u'Amalfitano M.', u'Cole C.', u'Nene', u'Demel G.', u'Jaaskelainen J. ', u'Jarvis M.', u""O'Brien J.""]","[(u'Albrighton M.', u'Mahrez R.'), (u'Amalfitano M.', u'Nolan K.'), (u'Cole C.', u'Sakho D.'), (u'King A.', u'De Laet R.'), (u'Nene', u'Song A.'), (u'Kramaric A.', u'Ulloa L.')]",Pearson N.,Allardyce S.
Crystal Palace,QPR,3/14/2015,W,3,1,Mason L. (Eng),28886,Selhurst Park (London),0.43,0.57,15,11,4,4,7,5,,,16,23,6,3,5,0,3,1,17,16,1,3,4 - 3 - 3,4 - 4 - 1 - 1,"[u'Bolasie Y.', u'Dann S.', u'Delaney D. ', u'Kelly M.', u'Ledley J.', u'McArthur J.', u'Murray G.', u'Puncheon J.', u'Speroni J. ', u'Ward J.', u'Zaha W.']","[u'Austin C.', u'Caulker S. ', u'Furlong D.', u'Green R. ', u'Henry K.', u'Onuoha N.', u'Phillips M.', u'Sandro', u'Taarabt A.', u'Wright-Phillips S.', u'Yun Suk-Young']","[u'Ameobi S.', u'Gayle D.', u'Hangeland B.', u'Hennessey W. ', u'Mariappa A.', u'Sanogo Y.', u'Souare P.']","[u'Grego-Cox R.', u'Hill C.', u'Hoilett J.', u'Kranjcar N.', u'McCarthy A. ', u'Vargas E.', u'Zamora B.']","[(u'Grego-Cox R.', u'Wright-Phillips S.'), (u'Gayle D.', u'Puncheon J.'), (u'Hill C.', u'Furlong D.'), (u'Kranjcar N.', u'Sandro'), (u'Mariappa A.', u'Zaha W.'), (u'Sanogo Y.', u'Murray G.')]",Pardew A.,Ramsey C.
