home_team,away_team,game_date,result,home_goals,away_goals,referee,attendance,venue,home_ball_possession,away_ball_possession,home_goal_attempts,away_goal_attempts,home_shots_on_goal,away_shots_on_goal,home_shots_off_goal,away_shots_off_goal,home_blocked_shots,away_blocked_shots,home_free_kicks,away_free_kicks,home_corner_kicks,away_corner_kicks,home_offsides,away_offsides,home_goalkeeper_saves,away_goalkeeper_saves,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_formation,away_formation,home_players,away_players,home_substitutes,away_substitutes,substitutions_made,home_coach,away_coach
Tottenham,Everton,8/29/2015,D,0,0,Jones M. (Eng),35865,White Hart Lane (London),0.5,0.5,20,8,6,3,8,4,6,1,10,23,6,2,3,1,3,6,20,9,4,1,4 - 2 - 3 - 1,4 - 2 - 3 - 1,"[u'Alderweireld T.', u'Bentaleb N.', u'Chadli N.', u'Dembele M.', u'Dier E.', u'Kane H.', u'Lloris H. ', u'Mason R.', u'Rose D.', u'Vertonghen J.', u'Walker K.']","[u'Barkley R.', u'Barry G.', u'Cleverley T.', u'Coleman S.', u'Howard T. ', u'Jagielka P. ', u'Kone A.', u'Lukaku R.', u'McCarthy J.', u'Oviedo B.', u'Stones J.']","[u'Alli D.', u'Carroll T.', u'Davies B.', u'Lamela E.', u'Pritchard A.', u'Trippier K.', u'Vorm M. ']","[u'Besic M.', u'Browning T.', u'Deulofeu G.', u'Mirallas K.', u'Naismith S.', u'Pennington M.', u'Robles J. ']","[(u'Alli D.', u'Dembele M.'), (u'Deulofeu G.', u'Kone A.'), (u'Mirallas K.', u'Cleverley T.'), (u'Pritchard A.', u'Mason R.'), (u'Naismith S.', u'Lukaku R.')]",Pochettino M.,Martinez R.
Watford,Aston Villa,4/30/2016,W,3,2,Taylor A. (Eng),20653,Vicarage Road (Watford),0.65,0.35,17,7,5,2,7,4,5,1,13,15,8,4,1,3,0,2,14,10,2,3,4 - 4 - 2,5 - 3 - 2,"[u'Abdi A.', u'Anya I.', u'Britos M.', u'Cathcart C.', u'Deeney T. ', u'Gomes H. ', u'Ighalo O.', u'Jurado J. M.', u'Paredes J.', u'Suarez M.', u'Watson B.']","[u'Ayew J.', u'Bacuna L.', u'Bunn M. ', u'Cissokho A.', u'Clark C.', u'Gestede R.', u'Gueye I.', u'Hutton A.', u'Lescott J. ', u'Toner K.', u'Westwood A.']","[u'Ake N.', u'Amrabat N.', u'Berghuis S.', u'Guedioura A.', u'Nyom A.', u'Pantilimon C. ', u'Prodl S.']","[u'Gil C.', u'Grealish J.', u'Guzan B. ', u'Richards M.', u'Sanchez C.', u'Sinclair S.', u'Veretout J.']","[(u'Amrabat N.', u'Jurado J. M.'), (u'Berghuis S.', u'Paredes J.'), (u'Sanchez C.', u'Ayew J.'), (u'Sinclair S.', u'Gueye I.')]",Flores Q.,Black E.
Liverpool,Chelsea,5/11/2016,D,1,1,Oliver M. (Eng),43210,Anfield Road (Liverpool),0.55,0.45,27,13,8,7,10,3,9,3,14,12,7,3,1,2,6,7,11,12,3,1,4 - 4 - 1 - 1,4 - 2 - 3 - 1,"[u'Can E.', u'Clyne N.', u'Coutinho', u'Firmino R.', u'Lallana A.', u'Lovren D.', u'Mignolet S. ', u'Milner J. ', u'Moreno A.', u'Sturridge D.', u'Toure K.']","[u'Azpilicueta C.', u'Baba Rahman A.', u'Begovic A. ', u'Cahill G. ', u'Fabregas C.', u'Hazard E.', u'Matic N.', u'Mikel J. O.', u'Pedro', u'Traore B.', u'Willian']","[u'Allen J.', u'Benteke C.', u'Bogdan A. ', u'Ojo S.', u'Lucas Leiva', u'Skrtel M.', u'Smith B.']","[u'Abraham T.', u'Amelia M. ', u'Kenedy', u'Loftus-Cheek R.', u'Palmer K.', u'Pato', u'Tomori F.']","[(u'Allen J.', u'Milner J.'), (u'Abraham T.', u'Traore B.'), (u'Benteke C.', u'Lallana A.'), (u'Kenedy', u'Willian'), (u'Ojo S.', u'Toure K.'), (u'Loftus-Cheek R.', u'Pedro')]",Klopp J.,Hiddink G.
Newcastle Utd,Manchester United,1/12/2016,D,3,3,Dean M. (Eng),49673,St. James Park (Newcastle),0.54,0.46,14,12,6,4,4,4,4,4,13,13,5,3,3,1,1,3,10,12,1,3,4 - 2 - 3 - 1,4 - 2 - 3 - 1,"[u'Colback J.', u'Coloccini F. ', u'Dummett P.', u'Elliot R. ', u'Janmaat D.', u'Mbemba Ch.', u'Mitrovic A.', u'Perez A.', u'Sissoko M.', u'Tiote C.', u'Wijnaldum G.']","[u'Blind D.', u'Darmian M.', u'de Gea D. ', u'Fellaini M.', u'Herrera A.', u'Lingard J.', u'Martial A.', u'Rooney W. ', u'Schneiderlin M.', u'Smalling C.', u'Young A.']","[u'Darlow K. ', u'de Jong S.', u'Gouffran Y.', u'Lascelles J.', u'Marveaux S.', u'Sterry J.', u'Toney I.']","[u'Borthwick-Jackson C.', u'Depay M.', u'Mata', u'McNair P.', u'Pereira A.', u'Romero S. ', u'Weir J.']","[(u'de Jong S.', u'Perez A.'), (u'Depay M.', u'Lingard J.'), (u'Gouffran Y.', u'Colback J.'), (u'Mata', u'Herrera A.'), (u'Toney I.', u'Tiote C.')]",McClaren S.,van Gaal L.
Bournemouth,Southampton,3/1/2016,W,2,0,Dean M. (Eng),11033,Dean Court (Bournemouth),0.45,0.55,9,6,4,1,2,3,3,2,22,12,10,2,1,4,1,2,11,18,,,4 - 4 - 1 - 1,3 - 4 - 1 - 2,"[u'Afobe B.', u'Arter H.', u'Boruc A. ', u'Cook S.', u'Daniels C.', u'Francis S. ', u'Gradel M.', u'King J.', u'Ritchie M.', u'Smith A.', u'Surman A.']","[u'Austin C.', u'Bertrand R.', u'Cedric A.', u'Fonte J. ', u'Forster F. ', u'Long S.', u'Mane S.', u'Romeu O.', u'van Dijk V.', u'Ward-Prowse J.', u'Yoshida M.']","[u'Distin S.', u'Elphick T.', u'Federici A. ', u'Gosling D.', u'Grabban L.', u'Murray G.', u'Pugh M.']","[u'Clasie J.', u'Davis S.', u'Martina C.', u'Pelle G.', u'Stekelenburg M. ', u'Tadic D.', u'Targett M.']","[(u'Davis S.', u'Yoshida M.'), (u'Gosling D.', u'Arter H.'), (u'Pelle G.', u'Austin C.'), (u'Grabban L.', u'King J.'), (u'Tadic D.', u'Long S.'), (u'Pugh M.', u'Gradel M.')]",Howe E.,Koeman R.
Swansea,Manchester United,8/30/2015,W,2,1,Atkinson M. (Eng),20828,Liberty Stadium (Swansea),0.35,0.65,9,11,4,4,4,6,1,1,16,9,0,1,3,1,3,2,6,15,2,2,4 - 2 - 3 - 1,4 - 2 - 3 - 1,"[u'Ayew A.', u'Cork J.', u'Fabianski L. ', u'Fernandez F.', u'Gomis B.', u'Naughton K.', u'Routledge W.', u'Shelvey J.', u'Sigurdsson G.', u'Taylor N.', u'Williams A. ']","[u'Blind D.', u'Darmian M.', u'Depay M.', u'Herrera A.', u'Mata', u'Romero S. ', u'Rooney W. ', u'Schneiderlin M.', u'Schweinsteiger B.', u'Shaw L.', u'Smalling C.']","[u'Bartley K.', u'Dyer N.', u'Ki Sung-Yong', u'Eder', u'Nordfeldt K. ', u'Rangel A.', u'Tabanou F.']","[u'Carrick M.', u'Fellaini M.', u'Chicharito', u'Johnstone S. ', u'McNair P.', u'Valencia A.', u'Young A.']","[(u'Bartley K.', u'Shelvey J.'), (u'Carrick M.', u'Schneiderlin M.'), (u'Fellaini M.', u'Herrera A.'), (u'Ki Sung-Yong', u'Routledge W.'), (u'Eder', u'Gomis B.'), (u'Young A.', u'Mata J.')]",Monk G.,van Gaal L.
Chelsea,Bournemouth,12/5/2015,L,0,1,Jones M. (Eng),41631,Stamford Bridge (London),0.63,0.37,19,15,6,5,9,4,4,6,14,12,11,4,2,1,4,6,10,13,2,1,4 - 2 - 3 - 1,4 - 1 - 4 - 1,"[u'Baba Rahman A.', u'Cahill G.', u'Courtois T. ', u'Fabregas C.', u'Hazard E.', u'Ivanovic B. ', u'Matic N.', u'Oscar', u'Pedro', u'Willian', u'Zouma K.']","[u'Arter H.', u'Boruc A. ', u'Cook S.', u'Daniels C.', u'Francis S. ', u'Gosling D.', u'King J.', u'Ritchie M.', u'Smith A.', u'Stanislas J.', u'Surman A.']","[u'Azpilicueta C.', u'Begovic A. ', u'Costa D.', u'Loftus-Cheek R.', u'Mikel J. O.', u'Remy L.', u'Traore B.']","[u'Allsop R. ', u'Butcher M.', u'Cargill B.', u'Kermorgant Y.', u'Murray G.', u""O'Kane E."", u'Rantie T.']","[(u'Costa D.', u'Oscar'), (u'Murray G.', u'King J.'), (u'Remy L.', u'Fabregas C.'), (u'Traore B.', u'Baba Rahman A.')]",Mourinho J.,Howe E.
Norwich,Leicester,10/3/2015,L,1,2,Clattenburg M. (Eng),27067,Carrow Road (Norwich),0.66,0.34,17,16,2,5,9,9,6,2,6,4,16,8,2,1,3,1,4,4,0,1,4 - 4 - 1 - 1,4 - 4 - 2,"[u'Bassong S.', u'Brady R.', u'Dorrans G.', u'Hoolahan W.', u'Howson J.', u'Jarvis M.', u'Jerome C.', u'Martin R. ', u'Ruddy J. ', u'Tettey A.', u'Whittaker S.']","[u'Albrighton M.', u'Drinkwater D.', u'Fuchs Ch.', u'Huth R.', u'Kante N.', u'Morgan W. ', u'Okazaki S.', u'Schlupp J.', u'Schmeichel K. ', u'Simpson D.', u'Vardy J.']","[u'Bennett R.', u'Lafferty K.', u'Mbokani D.', u'Olsson Mart.', u""O'Neil G."", u'Redmond N.', u'Rudd D. ']","[u'Benalouane Y.', u'De Laet R.', u'Inler G.', u'King A.', u'Mahrez R.', u'Schwarzer M. ', u'Ulloa L.']","[(u'Benalouane Y.', u'Simpson D.'), (u'Lafferty K.', u'Jerome C.'), (u'Mbokani D.', u'Jarvis M.'), (u'King A.', u'Schlupp J.'), (u'Redmond N.', u'Dorrans G.'), (u'Ulloa L.', u'Okazaki S.')]",Neil A.,Ranieri C.
Southampton,Tottenham,12/19/2015,L,0,2,Friend K. (Eng),31636,St. Mary's Stadium (Southampton),0.51,0.49,11,13,4,6,2,4,5,3,11,23,4,7,5,2,4,4,18,9,1,1,4 - 2 - 3 - 1,4 - 2 - 3 - 1,"[u'Bertrand R.', u'Cedric A.', u'Clasie J.', u'Davis S.', u'Fonte J. ', u'Gazzaniga P. ', u'Mane S.', u'Pelle G.', u'Tadic D.', u'van Dijk V.', u'Wanyama V.']","[u'Alderweireld T.', u'Alli D.', u'Davies B.', u'Dembele M.', u'Dier E.', u'Eriksen C.', u'Kane H.', u'Lamela E.', u'Lloris H. ', u'Vertonghen J.', u'Walker K.']","[u'Davis K. ', u'Juanmi', u'Long S.', u'Romeu O.', u'Targett M.', u'Ward-Prowse J.', u'Yoshida M.']","[u'Bentaleb N.', u'Carroll T.', u'Chadli N.', u'Son Heung-Min', u'Vorm M. ', u'Wimmer K.', u'Winks H.']","[(u'Juanmi', u'Tadic D.'), (u'Carroll T.', u'Alli D.'), (u'Long S.', u'Davis S.'), (u'Chadli N.', u'Eriksen C.'), (u'Son Heung-Min', u'Kane H.'), (u'Ward-Prowse J.', u'Clasie J.')]",Koeman R.,Pochettino M.
West Ham,Chelsea,10/24/2015,W,2,1,Moss J. (Eng),34977,Boleyn Ground (London),0.45,0.55,12,9,5,3,4,5,3,1,17,14,7,4,4,5,2,3,10,12,1,7,4 - 2 - 3 - 1,4 - 2 - 3 - 1,"[u'Adrian ', u'Collins J.', u'Cresswell A.', u'Jenkinson C.', u'Kouyate C.', u'Lanzini M.', u'Noble M. ', u'Payet D.', u'Sakho D.', u'Tomkins J.', u'Zarate M.']","[u'Azpilicueta C.', u'Begovic A. ', u'Cahill G.', u'Costa D.', u'Fabregas C.', u'Hazard E.', u'Matic N.', u'Ramires', u'Terry J. ', u'Willian', u'Zouma K.']","[u'Antonio M.', u'Carroll A.', u'Jelavic N.', u'Obiang P.', u'Ogbonna A.', u'Randolph D. ', u'Valencia E.']","[u'Amelia M. ', u'Baba Rahman A.', u'Falcao', u'Loftus-Cheek R.', u'Mikel J. O.', u'Oscar', u'Traore B.']","[(u'Carroll A.', u'Zarate M.'), (u'Baba Rahman A.', u'Azpilicueta C.'), (u'Falcao', u'Ramires'), (u'Obiang P.', u'Lanzini M.'), (u'Ogbonna A.', u'Noble M.'), (u'Mikel J. O.', u'Fabregas C.')]",Bilic S.,Mourinho J.
